condition,condition_label,fold,patient_id,structure,present,dice,iou,sensitivity,precision,hd95,assd,cldice,cc_error,centerline_overlap,n_components_pred,n_components_gt
constraints,+Constraints (containment + exclusion),1,11,liver,1,0.904869314735379,0.8262660583898548,0.9480181302115096,0.8654773240506592,100.32447358446493,11.337311382836898,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),1,11,tumour,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),1,11,vessel,1,0.6897070751392822,0.5263762491983212,0.5766651547088592,0.8578733932694279,20.615528128088304,3.249945223926554,0.5713115008775776,178.0,0.47698821796759944,195.0,17.0
constraints,+Constraints (containment + exclusion),1,12,liver,1,0.8984039178227725,0.8155474881928956,0.9693885155254186,0.8371058701605674,71.449282711585,7.908933324481233,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),1,12,tumour,1,0.007518043894535278,0.003773205509589738,0.003955338156614032,0.07573599240265907,150.9299491186972,31.612839867686635,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),1,12,vessel,1,0.6449973899425787,0.47601191699198686,0.6845446218396352,0.6097700065361484,22.58317958127243,3.4810498251202624,0.690294086562578,345.0,0.7105100144538509,362.0,17.0
constraints,+Constraints (containment + exclusion),2,06,liver,1,0.8480444509348878,0.7361781030727546,0.8083741347290224,0.8918092803978793,119.55333537798099,15.32260459557681,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),2,06,tumour,1,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),2,06,vessel,1,0.5622039686458892,0.3910178887588162,0.41349781439354216,0.8779359295322606,14.89966442575134,3.5654172216278406,0.6409012226327659,381.0,0.4997942669044027,394.0,13.0
constraints,+Constraints (containment + exclusion),2,13,liver,1,0.8815954578830937,0.7882616930492946,0.9502760609695469,0.8221733942551148,122.73956167430288,16.445216197651256,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),2,13,tumour,1,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),2,13,vessel,1,0.7207171490242721,0.5633759168072725,0.6431362374898779,0.8195826194984621,14.798648586948742,2.7910025179822284,0.7333228351713832,156.0,0.6356408498971898,189.0,33.0
constraints,+Constraints (containment + exclusion),2,16,liver,1,0.8244345641009017,0.7013089522067787,0.8285282197141389,0.8203811620932359,148.12494725737457,20.01092636087267,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),2,16,tumour,1,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),2,16,vessel,1,0.5628376013651915,0.39163117675486286,0.6444396123260437,0.4995785833658426,40.52159917870962,5.838527699125387,0.5563936210009406,394.0,0.7414218434626598,427.0,33.0
constraints,+Constraints (containment + exclusion),2,20,liver,1,0.9172140187560861,0.8470870833610006,0.9827208697930665,0.8598946015133259,210.35089728186904,20.780343718639305,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),2,20,tumour,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),2,20,vessel,1,0.49144128723040054,0.3257687507091796,0.38724537835615513,0.6723501992839289,38.7556447501522,6.3743173934313475,0.5357534425379658,456.0,0.40189908358175996,461.0,5.0
constraints,+Constraints (containment + exclusion),3,07,liver,1,0.7639096042530773,0.6180046434156425,0.8829331895179877,0.6731639132164544,54.04627646748664,10.53871157613196,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),3,07,tumour,1,0.128161966284989,0.06846851275408039,0.07077970215640675,0.6770895885161992,98.01020355044673,28.93026508189654,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),3,07,vessel,1,0.6550137928435154,0.48700409666528777,0.5770748738188304,0.7572926739181859,19.28470739821299,3.5646833330966596,0.6241223218597458,361.0,0.4983480176211454,378.0,17.0
constraints,+Constraints (containment + exclusion),3,08,liver,1,0.907313089422097,0.8303504696896524,0.904323910060693,0.9103220953650146,84.01428444913165,6.8544368378212,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),3,08,tumour,1,0.06486086563360599,0.03351741716227698,0.1550555173430284,0.041007250331332346,51.53881877897088,24.348158233384098,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),3,08,vessel,1,0.5869235564118547,0.41535159621054385,0.4597307690941953,0.8114165381867409,18.35755975068582,3.506482397006383,0.6092694478508216,133.0,0.5027525284854693,184.0,51.0
constraints,+Constraints (containment + exclusion),3,15,liver,1,0.9046337146620843,0.8258732505930734,0.9041080878323962,0.9051599530210485,77.74959806970065,9.00539915033304,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),3,15,tumour,1,0.11645101663585952,0.06182531894013739,0.46609124537607893,0.06653758141172329,80.40180340283726,49.60096021728554,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),3,15,vessel,1,0.5709504887666762,0.3995316357331275,0.6668754908102671,0.4991513390351022,42.54115623834234,5.28938154996431,0.6487302349583155,273.0,0.6950886766712142,283.0,10.0
constraints,+Constraints (containment + exclusion),3,18,liver,1,0.8853679598871146,0.7943141126621913,0.8239298875751934,0.9567068249783041,50.96076922496363,5.7668616414874,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),3,18,tumour,1,0.0,0.0,0.0,0.0,134.1146896374376,71.52395545131527,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),3,18,vessel,1,0.581641768573197,0.4100810047036511,0.8348813308616599,0.44627564536997105,41.43850843648986,5.712732114764284,0.6390516348227508,207.0,0.7213417855256207,222.0,15.0
constraints,+Constraints (containment + exclusion),4,01,liver,1,0.9410494266973456,0.8886622760516585,0.9510871280254978,0.9312213868926001,61.554853586049575,5.145287740014122,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),4,01,tumour,1,0.5477380461665292,0.37716201593017684,0.38154801428494517,0.9704231137888539,17.0,5.131479142963747,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),4,01,vessel,1,0.6308164125342595,0.46072449181329644,0.5463016734774339,0.7462663755458515,11.74734012447073,2.6785800832671427,0.633152915915638,314.0,0.5744844567559249,319.0,5.0
constraints,+Constraints (containment + exclusion),4,04,liver,1,0.8632910758006184,0.7594653806458503,0.9799922754429601,0.7714266611075122,129.30757903657252,16.14030451384326,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),4,04,tumour,1,0.4110215855963394,0.25867033930136474,0.5553763440860215,0.32622769619453656,50.00999900019995,17.281939348602496,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),4,04,vessel,1,0.639548501651772,0.4701001854371658,0.4879110251450677,0.9279432364943053,11.357816691600547,3.0006053581945236,0.6601358064715389,209.0,0.5153898768809849,225.0,16.0
constraints,+Constraints (containment + exclusion),4,09,liver,1,0.8514758402065107,0.7413651971932489,0.9656628579366511,0.7614378737693608,109.5308175811721,14.296344633861,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),4,09,tumour,1,0.1915126423184977,0.10589658893939889,0.16225154501419742,0.23365003006614551,163.81391879411166,43.19635656564639,nan,nan,nan,nan,nan
constraints,+Constraints (containment + exclusion),4,09,vessel,1,0.42150353335330204,0.26702849341736523,0.28355825221887004,0.8208115275144877,32.03123475609393,4.872050091815143,0.5972125952008736,358.0,0.47996025173898643,378.0,20.0
constraints,+Constraints (containment + exclusion),4,19,liver,1,0.8112410345078834,0.6824268485512955,0.8587649450728491,0.7687012348283978,79.50471684120383,14.662737100615855,nan,nan,nan,nan,nan
